,0
0,Colorado
1,Connecticut
2,Illinois
3,Indiana
4,Kansas
5,Kentucky
6,Louisiana
7,Maine
8,Massachusetts
9,Minnesota
10,Mississippi
11,Montana
12,Nevada
13,New Hampshire
14,Ohio
15,Oklahoma
16,Oregon
17,Pennsylvania
18,Utah
19,Vermont
20,Wyoming
